channel,peak_time,peak_flux,flare_class
Soft (SoLEXS proxy),2017-09-09 16:32:00,2.4367084e-06,C-class
Hard (HEL1OS proxy),2017-09-09 16:32:00,1.3693558e-07,N/A
Hard (HEL1OS proxy),2017-09-09 19:14:00,1.8110458e-07,N/A
Hard (HEL1OS proxy),2017-09-09 21:07:00,7.245587e-07,N/A
Soft (SoLEXS proxy),2017-09-09 21:11:00,6.799078e-06,C-class
Hard (HEL1OS proxy),2017-09-09 23:09:00,1.5625056e-06,N/A
Soft (SoLEXS proxy),2017-09-09 23:54:00,1.6917063e-05,M-class
Hard (HEL1OS proxy),2017-09-10 03:06:00,1.6041656e-06,N/A
Soft (SoLEXS proxy),2017-09-10 03:09:00,1.2993306e-05,M-class
Hard (HEL1OS proxy),2017-09-10 09:25:00,2.8912334e-07,N/A
Soft (SoLEXS proxy),2017-09-10 09:26:00,3.665153e-06,C-class
Soft (SoLEXS proxy),2017-09-10 11:15:00,1.7881666e-06,C-class
Hard (HEL1OS proxy),2017-09-10 12:50:00,1.8708674e-07,N/A
Soft (SoLEXS proxy),2017-09-10 13:27:00,2.7109133e-06,C-class
Hard (HEL1OS proxy),2017-09-10 14:23:00,2.2518167e-07,N/A
Hard (HEL1OS proxy),2017-09-10 16:03:00,0.00041476297,N/A
Soft (SoLEXS proxy),2017-09-10 16:06:00,0.0011880457,X-class
Hard (HEL1OS proxy),2017-09-10 18:36:00,9.976834e-06,N/A
