,xrsa,xrsb
2017-09-07 07:30:00,1.7586909e-07,3.490817e-06
2017-09-07 07:31:00,1.5724255e-07,3.4820312e-06
2017-09-07 07:32:00,1.3476443e-07,3.3764825e-06
2017-09-07 07:33:00,1.7714085e-07,3.5432477e-06
2017-09-07 07:34:00,5.351374e-07,5.0338836e-06
2017-09-07 07:35:00,4.690157e-07,4.8947522e-06
2017-09-07 07:36:00,3.0772193e-07,4.336454e-06
2017-09-07 07:37:00,2.2764733e-07,3.9271326e-06
2017-09-07 07:38:00,1.9298164e-07,3.6685792e-06
2017-09-07 07:39:00,1.6642184e-07,3.4670677e-06
2017-09-07 07:40:00,1.5465818e-07,3.346374e-06
2017-09-07 07:41:00,1.4894441e-07,3.3233339e-06
2017-09-07 07:42:00,1.4593763e-07,3.3193103e-06
2017-09-07 07:43:00,1.3789838e-07,3.2386577e-06
2017-09-07 07:44:00,1.1577908e-07,3.05567e-06
2017-09-07 07:45:00,9.779447e-08,2.8749664e-06
2017-09-07 07:46:00,8.6301824e-08,2.7300557e-06
2017-09-07 07:47:00,7.4674425e-08,2.6106595e-06
2017-09-07 07:48:00,7.105601e-08,2.4787873e-06
2017-09-07 07:49:00,6.236574e-08,2.3727755e-06
2017-09-07 07:50:00,5.2464287e-08,2.2828392e-06
2017-09-07 07:51:00,4.9937448e-08,2.2014117e-06
2017-09-07 07:52:00,4.6786848e-08,2.1281433e-06
2017-09-07 07:53:00,4.292619e-08,2.0615669e-06
2017-09-07 07:54:00,3.715791e-08,2.0105638e-06
2017-09-07 07:55:00,3.6019397e-08,1.9505067e-06
2017-09-07 07:56:00,3.4977777e-08,1.9071304e-06
2017-09-07 07:57:00,3.7112493e-08,1.8698839e-06
2017-09-07 07:58:00,3.825858e-08,1.8458793e-06
2017-09-07 07:59:00,3.5931585e-08,1.8149876e-06
2017-09-07 08:00:00,3.4841516e-08,1.7933147e-06
2017-09-07 08:01:00,3.2843058e-08,1.7818942e-06
2017-09-07 08:02:00,3.3165538e-08,1.7565874e-06
2017-09-07 08:03:00,3.2116347e-08,1.7328379e-06
2017-09-07 08:04:00,3.3933127e-08,1.7076609e-06
